dtcommid,dtusername,dtstart_date,dtcancel_date,direct,affiliate,cntry,com_pr,renew_ind,not_null_actions,null_actions,mailbox_created,billingcentral,renewal,email,marketing,domains,fm,ftp,mysql,weebly,support,not_null_actions_9,null_actions_9,mailbox_created_9,billingcentral_9,renewal_9,email_9,marketing_9,domains_9,website_9,fm_9,ftp_9,mysql_9,weebly_9,support_9,not_null_actions_10,null_actions_10,mailbox_created_10,billingcentral_10,renewal_10,email_10,marketing_10,domains_10,website_10,fm_10,ftp_10,mysql_10,weebly_10,support_10,add_on_mrr,domain_mrr,one_year_domains_new,com_domains_new,org_domains_new
8628209,DeletedUser-[5295684],2/2/16,1/23/17,0,1,0,1,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
8629022,DeletedUser-[5331594],2/3/16,3/6/17,0,1,0,1,0,364,441,3,0,0,31,0,0,90,0,28,0,35,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,2.8,0,0,0,0
8630857,DeletedUser-[5306938],2/5/16,2/7/17,1,0,0,0,0,161,196,0,0,0,0,0,9,10,12,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4,0,0
8634187,ipg.thelagniappeboutique,2/9/16,Null,1,0,1,1,1,64,54,1,0,0,5,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,8,0,0,0,0,0,0,2,0,0,0,2,0,3.6,0,0,0,0
8637426,ipg.caliandlilycom,2/11/16,Null,0,1,1,1,1,156,235,0,0,0,0,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0
8640406,ipg.holograma,2/14/16,3/16/17,1,0,0,0,0,123,106,10,1,0,47,0,3,2,1,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8643349,ipg.kevdevco,2/17/16,Null,1,0,1,0,1,183,206,0,2,0,0,0,0,15,22,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,112,0,3,0,0,0,0,0,3,0,12,0,5,0,0,0,0,0
8644893,DeletedUser-[5395792],2/18/16,5/24/17,0,1,0,1,1,285,293,0,0,6,2,0,41,37,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1,1,0
8656070,ipg.greaterthan40net,2/26/16,Null,0,1,1,0,1,24,34,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.4,1,0,1
8765023,ipg.webrevenudashboardco,4/3/16,Null,1,0,0,1,1,10,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8769937,ipg.funandartus,4/7/16,Null,0,1,0,0,1,37,71,0,5,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8778171,ipg.primerreasoncom,4/15/16,5/31/17,0,1,1,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8787734,DeletedUser-[5368925],4/25/16,4/13/17,0,1,1,1,0,65,52,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8792001,DeletedUser-[5399717],4/29/16,5/29/17,1,0,0,1,0,152,181,6,0,2,43,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8793472,ipg.revolutionansomcom,4/30/16,4/21/17,1,0,1,1,0,13,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8799739,DeletedUser-[5405117],5/6/16,6/5/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8804019,ipg.zema9pdscom,5/11/16,Null,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8805982,DeletedUser-[5391678],5/12/16,5/19/17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8809722,DeletedUser-[5389916],5/17/16,5/17/17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,1,1,0,0
8811735,DeletedUser-[5366588],5/18/16,4/10/17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,1.4,0,0,0
8814243,ipg.redzooentcom,5/21/16,5/6/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8814806,DeletedUser-[5384157],5/21/16,5/10/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0.7,1,1,0
8819780,DeletedUser-[5397851],5/26/16,5/26/17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8821390,DeletedUser-[5400278],5/28/16,5/29/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8821820,DeletedUser-[5424390],5/28/16,6/27/17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
8829496,DeletedUser-[5406388],6/6/16,6/6/17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8829904,DeletedUser-[5430413],6/6/16,7/6/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0
8835093,DeletedUser-[5385581],6/12/16,5/12/17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0
8835539,ipg.firstresponsemscomau,6/13/16,Null,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8861385,ipg.laurabohlingcom,6/21/16,Null,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7,0,0,0,0
8866144,DeletedUser-[5424925],6/26/16,6/28/17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8870829,ipg.favorpalcom,6/30/16,Null,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8878938,DeletedUser-[5433664],7/10/16,7/10/17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8889390,ipg.evolvereabitandocom,7/19/16,7/24/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.7,1,1,0
8895933,DeletedUser-[5535096],7/25/16,11/14/17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899706,DeletedUser-[5475590],7/29/16,8/28/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8626648,ipg.axbtnet,2/1/16,Null,1,0,0,0,1,272,215,0,0,0,0,0,39,8,2,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8633477,ipg.leaugahmusiccom,2/8/16,Null,1,0,1,1,1,33,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0
8636354,ipg.4noahcom,2/10/16,Null,1,0,1,1,1,25,41,0,0,1,0,0,0,0,0,0,2,0,110,105,0,0,0,0,0,2,26,0,2,0,1,2,44,24,0,2,1,0,0,0,3,0,6,2,0,1,0.8,0,0,0,0
8720266,DeletedUser-[5459800],2/28/16,8/5/17,1,0,1,1,1,69,132,0,0,0,0,0,1,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8728906,DeletedUser-[5334089],3/7/16,3/8/17,0,1,0,1,0,12,25,0,0,0,0,0,0,0,0,0,0,0,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8732117,ipg.parentsexpertcom,3/9/16,Null,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8734493,ipg.sgcbackupcom,3/11/16,Null,1,0,0,1,1,56,86,0,0,0,0,0,0,3,19,3,0,3,26,10,0,0,0,0,0,0,0,1,1,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8737575,DeletedUser-[5335561],3/14/16,3/9/17,1,0,1,0,0,39,56,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8742799,ipg.todayscravecom,3/18/16,Null,0,1,1,1,1,178,259,1,0,0,12,2,1,5,0,2,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
8746108,DeletedUser-[5349681],3/21/16,3/21/17,1,0,1,1,0,81,88,0,0,5,0,0,7,7,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
8752468,ipg.allstarpaperscom,3/26/16,Null,1,0,0,1,1,111,110,0,0,0,0,0,19,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,3,1,0
8752872,ipg.1776cashcom,3/26/16,Null,0,1,1,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8763616,DeletedUser-[5359665],4/1/16,4/1/17,1,0,1,0,0,67,82,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8764442,DeletedUser-[5350686],4/2/16,3/23/17,0,1,1,1,0,63,71,1,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0
8767809,ipg.wellnessrehabcomau,4/5/16,Null,0,1,0,0,1,363,433,1,1,0,29,0,3,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,3.2,1,0,0
8769912,ipg.himalayacoolcom,4/7/16,Null,1,0,0,1,1,244,287,4,0,0,18,0,0,45,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8779684,DeletedUser-[5360327],4/17/16,4/2/17,0,1,1,1,0,29,26,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8781308,DeletedUser-[5391270],4/19/16,5/19/17,1,0,0,0,0,236,313,4,0,0,16,0,21,2,22,4,8,0,7,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8787373,DeletedUser-[5396549],4/25/16,5/25/17,1,0,1,1,0,57,73,1,0,0,3,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8792929,ipg.calcolandingcom,4/30/16,4/30/17,0,1,1,1,0,14,25,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8798121,DeletedUser-[5383268],5/5/16,5/9/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0
8802085,DeletedUser-[5409596],5/9/16,6/8/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0
8802429,ipg.renewableenergyplusc,5/9/16,Null,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8813722,ipg.spotteddogblogcom,5/20/16,Null,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8814962,DeletedUser-[5381660],5/21/16,5/6/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
8817765,DeletedUser-[5396041],5/24/16,5/24/17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8818004,ipg.richstarfamcom,5/24/16,6/23/17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8818638,DeletedUser-[5421392],5/25/16,6/23/17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0
8821870,ipg.fruitsofflowerchildc,5/29/16,Null,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
8826583,DeletedUser-[5155472],6/2/16,7/7/16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8829020,DeletedUser-[5429811],6/5/16,7/5/17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8860175,ipg.finnappraisalscom,6/19/16,Null,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8862617,DeletedUser-[5446521],6/22/16,7/23/17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8872742,DeletedUser-[5453748],7/2/16,8/1/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0
8873802,ipg.caissecreditcom,7/4/16,Null,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
